1::Dark Secret of the Desert::Sci-Fi
2::Lost Heart of the Galaxy::Horror|Comedy|Western
3::Final World of the Forest::Fantasy|War|Action
4::Hidden Adventure of the Planet::Thriller|History
5::Mysterious Journey of the Planet::Drama|Mystery|War
6::Eternal Adventure of the Island::Music
7::Eternal Secret of the Forest::War|Mystery
8::Hidden Dream of the Island::Romance|Comedy
9::Eternal World of the Island::Western|Documentary|Horror
10::Incredible Hero of the City::Documentary
11::Incredible Legend of the Galaxy::Comedy|War|Horror
12::Lost Story of the Mountain::Family|Horror
13::Mysterious Legend of the Kingdom::Sci-Fi|Fantasy|War
14::Final Adventure of the Island::Comedy
15::Mysterious World of the Desert::Romance|War
16::Mysterious Hero of the City::Thriller|Documentary
17::Incredible World of the Galaxy::Thriller
18::Silent Heart of the Valley::Western|Drama|Crime
19::Lost World of the Galaxy::Action|Western|Documentary
20::Silent Adventure of the Kingdom::Action|War
21::Mysterious Adventure of the Island::Documentary|Adventure|History
22::Lost Dream of the Galaxy::Thriller|Horror|Family
23::Eternal Heart of the Forest::Drama|Mystery|Western
24::Bright Secret of the Valley::Fantasy
25::Hidden World of the Kingdom::War|Crime
26::Mysterious Quest of the Valley::Western|Mystery
27::Silent Hero of the Island::Documentary|Mystery|Family
28::Mysterious Secret of the Valley::Mystery|Animation
29::Dark Dream of the Forest::Sci-Fi
30::Final Dream of the Galaxy::Mystery|Fantasy
31::Lost Secret of the Mountain::War
32::Dark Hero of the Valley::Comedy
33::Eternal Legend of the City::History|Drama|Adventure
34::Final Quest of the Forest::Mystery
35::Silent Quest of the Ocean::Horror
36::Silent Journey of the Valley::Crime
37::Hidden Secret of the Valley::Romance|Western
38::Silent Quest of the Island::Fantasy|Family
39::Incredible Legend of the Forest::Documentary|Comedy|Mystery
40::Mysterious Legend of the Ocean::Adventure|Crime|Drama
41::Hidden World of the Desert::Romance|Documentary
42::Dark Dream of the Mountain::Family|Romance|Documentary
43::Incredible Journey of the Valley::Sci-Fi
44::Hidden Hero of the Planet::Music
45::Mysterious Quest of the Mountain::Family|Fantasy
46::Mysterious Legend of the Ocean::Comedy
47::Lost Story of the Island::Adventure|Action
48::Amazing Hero of the Galaxy::Fantasy|War|Sci-Fi
49::Mysterious World of the Planet::Comedy|Mystery
50::Incredible Secret of the Forest::Western|Action|Documentary
51::Amazing Heart of the Kingdom::Animation|Thriller
52::Lost Dream of the Forest::Adventure|Horror
53::Silent World of the Kingdom::Western|Family|History
54::Dark Hero of the Ocean::Thriller|Mystery|War
55::Silent Quest of the Island::War|Documentary|Drama
56::Mysterious Hero of the Ocean::War|Thriller|Crime
57::Lost Story of the Mountain::Action|Animation
58::Mysterious Adventure of the Galaxy::Action
59::Lost Hero of the Island::Adventure|War
60::Dark Dream of the Forest::Romance|Thriller
61::Lost Story of the Desert::Animation
62::Mysterious Story of the Valley::Animation|Western
63::Final Secret of the City::Mystery|Thriller
64::Eternal World of the Kingdom::Fantasy|Action|Horror
65::Incredible Story of the Ocean::Crime|Horror|Animation
66::Final Adventure of the Forest::Action|Romance|Adventure
